tR,tRW,x,y,th,v,w,batVolt,isFollowing,xVm,yVm,dist,xVmG,yVmG,vD,wD,kappaD,distVm,headVm,vScale,wScale,distDesired,thDesired,xError,yError,vx,vy,vNew,wNew,xVmD,yVmD,
1149059179,149059187,0,0,0,0,0,12.4,0,0.3,0,0,0.3,0,0,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0,0,0,0,0,0,
1149059245,149059296,0,0,0,0,0,12.4,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149059343,149059375,0,0,0,0,0,12.4,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149059437,149059468,0,0,0,0,0,12.4,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149059551,149059562,0,0,0,0,0,12.4,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149059646,149059671,0,0,0,0,0,12.4,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149059742,149059781,0,0,0,0,0,12.4,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149059838,149059859,0,0,0,0,0,12.4,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149059934,149059953,0,0,0,0,0,12.4,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149060044,149060062,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149060141,149060171,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149060236,149060265,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149060334,149060359,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149060428,149060453,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149060542,149060546,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149060636,149060671,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149060733,149060750,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149060829,149060859,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149060925,149060953,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149061037,149061046,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149061133,149061140,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149061228,149061250,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149061325,149061343,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149061420,149061437,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149061515,149061546,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149061629,149061656,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149061724,149061750,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149061820,149061843,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149061915,149061937,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149062012,149062031,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149062123,149062156,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149062219,149062250,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149062314,149062343,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149062411,149062437,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149062507,149062531,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149062619,149062625,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149062716,149062750,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149062812,149062828,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149062905,149062937,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149063002,149063031,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149063115,149063125,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149063211,149063234,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149063307,149063328,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149063401,149063421,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149063499,149063515,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149063610,149063625,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149063706,149063734,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149063803,149063828,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149063897,149063921,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149063994,149064015,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149064106,149064109,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149064203,149064234,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149064297,149064328,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149064397,149064421,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
1149064490,149064515,0,0,0,0,0,12.3,0,0.3,0,0,0.3,0,0.612372,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.75,0,0.75,0,0.3,0,
