tO,tOW,trigger,tK,tKW,KLKneeX,KLKneeY,KLKneeZ,KLAnkleX,KLAnkleY,KLAnkleZ,KLFootX,KLFootY,KLFootZ,KRKneeX,KRKneeY,KRKneeZ,KRAnkleX,KRAnkleY,KRAnkleZ,KRFootX,KRFootY,KRFootZ,tDiffR,WLKneeX,WLKneeY,WLKneeZ,WLAnkleX,WLAnkleY,WLAnkleZ,WLFootX,WLFootY,WLFootZ,WRKneeX,WRKneeY,WRKneeZ,WRAnkleX,WRAnkleY,WRAnkleZ,WRFootX,WRFootY,WRFootZ,
-1,-1,-1,800,149276437,-0.0888985,-0.442209,1.34485,-0.0551005,-0.848519,1.37331,-0.0357205,-0.863906,1.27344,0.108629,-0.446715,1.32498,0.0917659,-0.845089,1.40137,0.0737928,-0.861262,1.31219,11,-1.49485,0.0888986,0.257791,-1.52331,0.0551006,-0.148519,-1.42344,0.0357206,-0.163906,-1.47498,-0.108629,0.253285,-1.55137,-0.0917658,-0.145089,-1.46219,-0.0737927,-0.161262,
-1,-1,-1,832,149276468,-0.0851665,-0.425224,1.36367,-0.0562572,-0.847055,1.36749,-0.0440367,-0.858266,1.24873,0.139433,-0.426736,1.35835,0.0912779,-0.842801,1.40109,0.0530087,-0.849157,1.28737,43,-1.51367,0.0851665,0.274776,-1.51749,0.0562573,-0.147055,-1.39873,0.0440368,-0.158266,-1.50835,-0.139433,0.273264,-1.55109,-0.0912778,-0.142801,-1.43737,-0.0530086,-0.149157,
-1,-1,-1,866,149276484,-0.0709992,-0.405723,1.34566,-0.0603657,-0.795348,1.35816,-0.0608485,-0.819314,1.23932,0.103228,-0.4119,1.34343,0.0888346,-0.797165,1.3884,0.0844181,-0.819418,1.26966,59,-1.49566,0.0709992,0.294277,-1.50816,0.0603658,-0.0953475,-1.38932,0.0608486,-0.119314,-1.49343,-0.103228,0.2881,-1.5384,-0.0888345,-0.0971646,-1.41966,-0.084418,-0.119418,
-1,-1,-1,900,149276531,-0.0711981,-0.404511,1.34556,-0.064283,-0.692128,1.35402,-0.0651647,-0.715474,1.22758,0.103228,-0.411865,1.34335,0.0942453,-0.692334,1.3728,0.0893419,-0.715886,1.2463,-3,-1.49556,0.0711982,0.295489,-1.50402,0.0642831,0.00787181,-1.37758,0.0651648,-0.0154737,-1.49335,-0.103228,0.288135,-1.5228,-0.0942452,0.00766575,-1.3963,-0.0893418,-0.0158855,
-1,-1,-1,932,149276562,-0.0712992,-0.404325,1.34558,-0.0640153,-0.693273,1.35444,-0.0653091,-0.718287,1.22426,0.103194,-0.411732,1.34299,0.0942191,-0.693062,1.37249,0.088915,-0.718283,1.24225,29,-1.49558,0.0712993,0.295675,-1.50444,0.0640154,0.0067274,-1.37426,0.0653092,-0.0182868,-1.49299,-0.103194,0.288268,-1.52249,-0.094219,0.00693834,-1.39225,-0.0889149,-0.0182825,
-1,-1,-1,965,149276593,-0.0713304,-0.404211,1.34556,-0.0638784,-0.694973,1.35485,-0.0655549,-0.721078,1.22219,0.103167,-0.411684,1.34271,0.0941512,-0.69425,1.37278,0.0884734,-0.72057,1.24005,61,-1.49556,0.0713305,0.295789,-1.50485,0.0638785,0.005027,-1.37219,0.065555,-0.0210777,-1.49271,-0.103167,0.288316,-1.52278,-0.0941511,0.00575042,-1.39005,-0.0884733,-0.02057,
-1,-1,-1,1000,149276625,-0.0716978,-0.403791,1.34586,-0.0630187,-0.695951,1.35532,-0.0650964,-0.722837,1.22088,0.103022,-0.411423,1.3424,0.0942644,-0.694841,1.37238,0.0882062,-0.721943,1.23788,-1,-1.49586,0.0716978,0.296209,-1.50532,0.0630188,0.004049,-1.37088,0.0650965,-0.0228373,-1.4924,-0.103022,0.288577,-1.52238,-0.0942643,0.00515878,-1.38787,-0.0882061,-0.0219426,
-1,-1,-1,1032,149276656,-0.0717596,-0.403941,1.34602,-0.0630804,-0.696043,1.35529,-0.0655504,-0.723524,1.21951,0.102656,-0.41134,1.34197,0.0939625,-0.695478,1.3725,0.0875192,-0.723164,1.23666,31,-1.49602,0.0717597,0.296059,-1.50529,0.0630805,0.00395656,-1.36951,0.0655505,-0.023524,-1.49197,-0.102656,0.28866,-1.5225,-0.0939624,0.0045222,-1.38666,-0.0875191,-0.0231638,
-1,-1,-1,1066,149276687,-0.0721634,-0.403858,1.34649,-0.0633048,-0.69647,1.35524,-0.0660883,-0.72438,1.21848,0.102147,-0.411122,1.34168,0.094002,-0.695665,1.37236,0.0872389,-0.723785,1.23553,63,-1.49649,0.0721635,0.296142,-1.50524,0.0633049,0.00353026,-1.36848,0.0660884,-0.0243795,-1.49168,-0.102147,0.288878,-1.52236,-0.0940019,0.00433457,-1.38553,-0.0872388,-0.0237845,
-1,-1,-1,1100,149276718,-0.0724088,-0.403723,1.34685,-0.0629411,-0.69724,1.35654,-0.0661378,-0.725522,1.21894,0.101846,-0.411122,1.34138,0.0940203,-0.696309,1.37259,0.0868557,-0.724792,1.23493,2,-1.49685,0.0724089,0.296277,-1.50654,0.0629411,0.00276029,-1.36894,0.0661379,-0.0255215,-1.49138,-0.101846,0.288878,-1.52259,-0.0940202,0.00369084,-1.38493,-0.0868556,-0.0247919,
