tR,tRW,x,y,th,v,w,batVolt,isFollowing,xVm,yVm,dist,xVmG,yVmG,vD,wD,kappaD,distVm,headVm,vScale,wScale,distDesired,thDesired,xError,yError,vx,vy,vNew,wNew,xVmD,yVmD,
1154608489,154608578,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0,0,0,0,0,0,
1154608695,154608796,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154608791,154608812,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154608890,154608906,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154608983,154609015,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154609080,154609109,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154609176,154609203,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154609288,154609312,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154609385,154609406,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154609480,154609500,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154609576,154609593,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154609672,154609687,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154609782,154609796,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154609879,154609906,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154609976,154610000,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154610070,154610093,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154610166,154610187,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154610278,154610281,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154610374,154610390,0,0,0,0,0,12.9,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154610471,154610500,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154610566,154610593,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154610664,154610687,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154610775,154610781,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154610871,154610890,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154610968,154610984,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154611061,154611078,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154611157,154611187,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154611271,154611281,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154611367,154611390,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154611463,154611484,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154611559,154611578,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154611653,154611671,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154611766,154611781,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154611862,154611875,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154611956,154611984,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154612053,154612078,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154612150,154612171,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154612245,154612265,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154612359,154612390,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154612453,154612484,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154612550,154612578,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154612647,154612671,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154612740,154612765,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154612853,154612875,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154612948,154612968,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154613044,154613062,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154613140,154613171,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154613236,154613265,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
1154613350,154613359,0,0,0,0,0,12.8,0,0.3,0,0,0.3,0,0.559017,0,0,0.3,0,-0.8,0.5,2.1,0,0,0,0.85,0,0.85,0,0.3,0,
