tO,tOW,trigger,tK,tKW,KLKneeX,KLKneeY,KLKneeZ,KLAnkleX,KLAnkleY,KLAnkleZ,KLFootX,KLFootY,KLFootZ,KRKneeX,KRKneeY,KRKneeZ,KRAnkleX,KRAnkleY,KRAnkleZ,KRFootX,KRFootY,KRFootZ,tDiffR,WLKneeX,WLKneeY,WLKneeZ,WLAnkleX,WLAnkleY,WLAnkleZ,WLFootX,WLFootY,WLFootZ,WRKneeX,WRKneeY,WRKneeZ,WRAnkleX,WRAnkleY,WRAnkleZ,WRFootX,WRFootY,WRFootZ,
24467989,154831703,1,3100,154832187,-0.17384,-0.43989,1.04273,-0.146572,-0.56165,1.13537,-0.157857,-0.62928,1.12478,0.186866,-0.402838,1.01475,0.0998905,-0.598087,1.1439,0.115608,-0.640559,1.13029,36,-1.19273,0.173841,0.26011,-1.28537,0.146572,0.13835,-1.27478,0.157857,0.0707205,-1.16475,-0.186866,0.297162,-1.2939,-0.0998904,0.101913,-1.28029,-0.115608,0.0594409,
24467989,154831703,1,3133,154832203,-0.185063,-0.465286,1.09921,-0.146371,-0.561289,1.13504,-0.158224,-0.633592,1.12598,0.196933,-0.443129,1.08642,0.100534,-0.597292,1.14373,0.120242,-0.65529,1.13506,52,-1.24921,0.185063,0.234714,-1.28504,0.146371,0.138711,-1.27598,0.158225,0.0664076,-1.23642,-0.196933,0.256871,-1.29373,-0.100534,0.102708,-1.28506,-0.120242,0.0447096,
24467989,154831703,1,3167,154832250,-0.130226,-0.454741,1.11357,-0.182242,-0.837601,1.21893,-0.175404,-0.861299,1.0947,0.100713,-0.462909,1.11159,0.119562,-0.835126,1.21446,0.118911,-0.858726,1.0901,100,-1.26357,0.130226,0.245259,-1.36893,0.182242,-0.137601,-1.2447,0.175404,-0.161299,-1.26159,-0.100712,0.237091,-1.36446,-0.119562,-0.135126,-1.2401,-0.118911,-0.158726,
24467989,154831703,1,3200,154832281,-0.1302,-0.454877,1.11359,-0.181885,-0.840156,1.21474,-0.17499,-0.865187,1.08715,0.100732,-0.462888,1.11164,0.120046,-0.836926,1.21391,0.11944,-0.861914,1.08616,23,-1.26359,0.1302,0.245123,-1.36474,0.181885,-0.140156,-1.23715,0.17499,-0.165187,-1.26164,-0.100732,0.237112,-1.36391,-0.120046,-0.136926,-1.23616,-0.11944,-0.161914,
24467989,154831703,1,3233,154832312,-0.130158,-0.454897,1.11361,-0.18261,-0.840793,1.21252,-0.175814,-0.866527,1.08305,0.100873,-0.462981,1.112,0.144811,-0.852593,1.13972,0.143341,-0.877205,1.01095,55,-1.26361,0.130158,0.245103,-1.36252,0.18261,-0.140793,-1.23305,0.175814,-0.166527,-1.262,-0.100873,0.237019,-1.28972,-0.144811,-0.152593,-1.16095,-0.143341,-0.177205,
24467989,154831703,1,3267,154832359,-0.130131,-0.454949,1.11365,-0.182312,-0.841925,1.21145,-0.176103,-0.868167,1.08035,0.101271,-0.463432,1.11302,0.143298,-0.853555,1.14571,0.141291,-0.87876,1.01524,87,-1.26365,0.130131,0.245051,-1.36145,0.182312,-0.141925,-1.23035,0.176103,-0.168166,-1.26302,-0.101271,0.236568,-1.29571,-0.143298,-0.153555,-1.16524,-0.141291,-0.17876,
24467989,154831703,1,3300,154832390,-0.130072,-0.455011,1.11374,-0.181938,-0.842745,1.21103,-0.176349,-0.869374,1.07869,0.101546,-0.46347,1.11372,0.142487,-0.854273,1.1493,0.139891,-0.879914,1.01755,25,-1.26374,0.130072,0.244989,-1.36103,0.181938,-0.142745,-1.22869,0.176349,-0.169374,-1.26372,-0.101546,0.23653,-1.2993,-0.142487,-0.154273,-1.16755,-0.139891,-0.179914,
24467989,154831703,1,3333,154832421,-0.130034,-0.455091,1.11382,-0.182261,-0.85662,1.1532,-0.177098,-0.882623,1.02062,0.101759,-0.4637,1.11429,0.141764,-0.854977,1.15211,0.13863,-0.880926,1.01943,57,-1.26382,0.130034,0.244909,-1.3032,0.182261,-0.15662,-1.17062,0.177099,-0.182623,-1.26429,-0.101759,0.2363,-1.30211,-0.141764,-0.154977,-1.16943,-0.13863,-0.180926,
24467989,154831703,1,3367,154832453,-0.129983,-0.455431,1.11393,-0.18302,-0.856702,1.15458,-0.17849,-0.882916,1.02129,0.101845,-0.463692,1.1144,0.141203,-0.855689,1.15432,0.137434,-0.881845,1.02092,89,-1.26393,0.129983,0.244569,-1.30458,0.18302,-0.156702,-1.17129,0.17849,-0.182916,-1.2644,-0.101845,0.236308,-1.30432,-0.141203,-0.155688,-1.17092,-0.137434,-0.181844,
24467989,154831703,1,3433,154832500,-0.129994,-0.456525,1.11436,-0.183508,-0.856575,1.15576,-0.178848,-0.882957,1.02199,0.101902,-0.463674,1.11448,0.140771,-0.855566,1.15564,0.13713,-0.881892,1.02176,28,-1.26436,0.129994,0.243475,-1.30576,0.183508,-0.156575,-1.17198,0.178848,-0.182957,-1.26448,-0.101902,0.236326,-1.30564,-0.14077,-0.155566,-1.17176,-0.13713,-0.181892,
24467989,154831703,1,3467,154832515,-0.130032,-0.457199,1.11465,-0.18394,-0.855615,1.15629,-0.180014,-0.882143,1.02206,0.10194,-0.463697,1.1145,0.140529,-0.855252,1.15613,0.136146,-0.881711,1.0218,44,-1.26465,0.130032,0.242801,-1.30629,0.18394,-0.155615,-1.17206,0.180015,-0.182143,-1.2645,-0.10194,0.236303,-1.30613,-0.140529,-0.155252,-1.1718,-0.136146,-0.181711,
24467989,154831703,1,3500,154832546,-0.134649,-0.468329,1.12302,-0.19061,-0.852438,1.17119,-0.186871,-0.87931,1.03646,0.101967,-0.46377,1.11453,0.140312,-0.855686,1.15677,0.135614,-0.882245,1.02209,76,-1.27302,0.134649,0.231671,-1.32119,0.19061,-0.152438,-1.18646,0.186871,-0.17931,-1.26453,-0.101967,0.23623,-1.30677,-0.140312,-0.155686,-1.17209,-0.135614,-0.182245,
24467989,154831703,1,3533,154832578,-0.135818,-0.471038,1.12523,-0.192522,-0.851995,1.17506,-0.189121,-0.879013,1.04002,0.101984,-0.463739,1.11458,0.140243,-0.85633,1.15717,0.13517,-0.882971,1.02223,14,-1.27523,0.135818,0.228962,-1.32506,0.192522,-0.151995,-1.19002,0.189121,-0.179013,-1.26458,-0.101984,0.236261,-1.30717,-0.140243,-0.156329,-1.17223,-0.13517,-0.182971,
